Frame,ID,PosX,PosY,PosZ
582,Low Poly Human 2,0.0,62.0,0.0
582,Car Axis,1.0,65.97826385498047,2.200000047683716
583,Low Poly Human 2,0.0,62.0,0.0
583,Car Axis,1.0,65.92391204833984,2.200000047683716
584,Low Poly Human 2,0.0,62.0,0.0
584,Car Axis,1.0,65.86956787109375,2.200000047683716
585,Low Poly Human 2,0.0,62.0,0.0
585,Car Axis,1.0,65.81521606445312,2.200000047683716
586,Low Poly Human 2,0.0,62.0,0.0
586,Car Axis,1.0,65.76087188720703,2.200000047683716
587,Low Poly Human 2,0.0,62.0,0.0
587,Car Axis,1.0,65.7065200805664,2.200000047683716
588,Low Poly Human 2,0.0,62.0,0.0
588,Car Axis,1.0,65.65217590332031,2.200000047683716
589,Low Poly Human 2,0.0,62.0,0.0
589,Car Axis,1.0,65.59782409667969,2.200000047683716
590,Low Poly Human 2,0.0,62.0,0.0
590,Car Axis,1.0,65.5434799194336,2.200000047683716
